mess_datum;stations_id;rs;cp;altitude;latitude;longitude;station_name;state
2017-05-13;554;0;26.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-14;554;0.1;26.60;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-15;554;0;26.60;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-16;554;0;26.60;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-17;554;0.1;26.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-18;554;2.3;29.00;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-19;554;4.5;33.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-20;554;0;33.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-21;554;0;33.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-22;554;0;33.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-23;554;0;33.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-24;554;0;33.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-25;554;0;33.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-26;554;0;33.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-27;554;8.4;41.90;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-28;554;0.6;42.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-29;554;1.2;43.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-30;554;0;43.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-31;554;0;43.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-01;554;0;43.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-02;554;0.1;43.80;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-03;554;2.6;46.40;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-04;554;0;46.40;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-05;554;0;46.40;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-06;554;1.6;48.00;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-07;554;3.7;51.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-08;554;0;51.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-09;554;6.9;58.60;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-10;554;0;58.60;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-11;554;0.1;58.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-12;554;0;58.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-13;554;0;58.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-14;554;0;58.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-15;554;0;58.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-16;554;0;58.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-17;554;0;58.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-18;554;0;58.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-19;554;0;58.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-20;554;0;58.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-21;554;0;58.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-22;554;0.3;59.00;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-23;554;0;59.00;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-24;554;0.5;59.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-25;554;2.2;61.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-26;554;0;61.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-27;554;2.2;63.90;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-28;554;8.2;72.10;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-29;554;0.4;72.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-06-30;554;13.4;85.90;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-01;554;0.1;0.10;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-02;554;0;0.10;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-03;554;0;0.10;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-04;554;0;0.10;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-05;554;0;0.10;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-06;554;0;0.10;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-07;554;0;0.10;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-08;554;0;0.10;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-09;554;0.4;0.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-10;554;0;0.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-11;554;0;0.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-12;554;0;0.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-13;554;9.1;9.60;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-14;554;0;9.60;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-15;554;0;9.60;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-16;554;0;9.60;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-17;554;0;9.60;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-18;554;0;9.60;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-19;554;0;9.60;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-20;554;0;9.60;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-21;554;3.5;13.10;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-22;554;2.3;15.40;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-23;554;1.7;17.10;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-24;554;0.6;17.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-25;554;0;17.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-26;554;0;17.70;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-27;554;0.5;18.20;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-28;554;0;18.20;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-29;554;3.3;21.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-30;554;0;21.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-05-31;554;0;21.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-01;554;8.3;29.80;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-02;554;0;29.80;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-03;554;0;29.80;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-04;554;0;29.80;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-05;554;0;29.80;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-06;554;0;29.80;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-07;554;1.1;30.90;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-08;554;2.5;33.40;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-09;554;0;33.40;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-10;554;0;33.40;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-11;554;0;33.40;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-12;554;0;33.40;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-13;554;0;33.40;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-14;554;1.4;34.80;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-15;554;0;34.80;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-16;554;0;34.80;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-17;554;0;34.80;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-18;554;0.3;35.10;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-19;554;0;35.10;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-20;554;0.1;35.20;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-21;554;0.1;35.30;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-22;554;0.7;36.00;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-23;554;0.1;36.10;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-24;554;0.4;36.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-25;554;0;36.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-26;554;0;36.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-27;554;0;36.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-28;554;0;36.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-29;554;0;36.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2018-06-30;554;0;36.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2016-05-01;1999;0;0.00;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-02;1999;2.7;2.70;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-03;1999;0;2.70;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-04;1999;0;2.70;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-05;1999;0;2.70;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-06;1999;0;2.70;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-07;1999;0;2.70;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-08;1999;0;2.70;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-09;1999;0;2.70;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-10;1999;1.4;4.10;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-11;1999;0;4.10;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-12;1999;0;4.10;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-13;1999;0;4.10;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-14;1999;1;5.10;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-15;1999;0;5.10;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-16;1999;0.1;5.20;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-17;1999;0;5.20;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-18;1999;4.1;9.30;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-19;1999;0;9.30;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-20;1999;0.4;9.70;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-21;1999;0;9.70;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-22;1999;3.5;13.20;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-23;1999;14.9;28.10;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-24;1999;0.1;28.20;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-25;1999;0;28.20;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-26;1999;0.1;28.30;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-27;1999;0.5;28.80;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-28;1999;0;28.80;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-29;1999;8.9;37.70;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-30;1999;41.5;79.20;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-05-31;1999;1;80.20;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-01;1999;120.3;200.50;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-02;1999;11.3;211.80;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-03;1999;24.7;236.50;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-04;1999;0;236.50;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-05;1999;0;236.50;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-06;1999;0;236.50;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-07;1999;13.9;250.40;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-08;1999;0;250.40;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-09;1999;0;250.40;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-10;1999;0;250.40;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-11;1999;0;250.40;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-12;1999;5.1;255.50;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-13;1999;21.3;276.80;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-14;1999;1.7;278.50;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-15;1999;4.3;282.80;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-16;1999;1.7;284.50;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-17;1999;1.6;286.10;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-18;1999;3.6;289.70;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
2016-06-19;1999;0;289.70;23;51.7217;6.5839;Hamminkeln-M??hlenrott;Nordrhein-Westfalen
